laptop_ID,Inches,Memory,SSD_Flag,HDD_Flag,Storage_GB,Ram_GB,Company_std,OpSys_std,Weight_kg,Screen_W,Screen_H,PPI,Company_Apple,Company_Asus,Company_Chuwi,Company_Dell,Company_Fujitsu,Company_Google,Company_HP,Company_Huawei,Company_LG,Company_Lenovo,Company_MSI,Company_Mediacom,Company_Microsoft,Company_Razer,Company_Samsung,Company_Toshiba,Company_Vero,Company_Xiaomi,TypeName_Gaming,TypeName_Netbook,TypeName_Notebook,TypeName_Ultrabook,TypeName_Workstation,Cpu_Brand_Intel,Cpu_Brand_Other,Gpu_Brand_Intel,Gpu_Brand_Nvidia,Gpu_Brand_Other,OS_Simplified_MacOS,OS_Simplified_Other,OS_Simplified_Windows
26,15.6,1TB HDD,0,1,1000.0,4,Dell,Windows,2.3,1366,768,100.45466986113651,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,True,False,False,False,False,True
27,13.3,128GB Flash Storage,0,0,128.0,8,Apple,Mac,1.35,1440,900,127.67794013309688,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,True,False,False,True,False,False
28,15.6,256GB SSD,1,0,256.0,8,Dell,Windows,2.2,1920,1080,141.21199808219862,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,True
29,15.6,256GB SSD +  256GB SSD,1,0,512.0,8,Dell,Windows,1.88,1920,1080,141.21199808219862,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,True,False,False,False,False,True
30,17.3,1TB HDD,0,1,1000.0,8,HP,Windows,2.5,1920,1080,127.33567457123111,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False,False,True
31,15.6,64GB Flash Storage,0,0,64.0,4,Other,Windows,1.89,1920,1080,141.21199808219862,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,True,False,False,False,False,True
32,14.0,32GB Flash Storage,0,0,32.0,2,Asus,Windows,1.65,1366,768,111.93520355955211,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True
33,17.3,500GB HDD,0,1,500.0,4,HP,Windows,2.71,1920,1080,127.33567457123111,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True
34,13.3,512GB SSD,1,0,512.0,16,Dell,Windows,1.2,3200,1800,276.053530085501,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,True,False,False,False,False,True
35,13.3,256GB Flash Storage,0,0,256.0,8,Apple,Mac,1.35,1440,900,127.67794013309688,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,True,False,False,True,False,False
36,14.0,64GB Flash Storage,0,0,64.0,4,Lenovo,Windows,1.44,1366,768,111.93520355955211,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,True,False,False,False,False,True
37,15.6,1TB HDD,0,1,1000.0,4,Acer,Linux,2.1,1366,768,100.45466986113651,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,True,False,False,False,False,False
38,17.3,128GB SSD +  1TB HDD,1,1,1128.0,8,Dell,Windows,2.8,1920,1080,127.33567457123111,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,True
39,15.6,1TB HDD,0,1,1000.0,4,HP,Windows,1.86,1366,768,100.45466986113651,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,True,False,False,False,False,True
40,15.6,256GB SSD,1,0,256.0,8,HP,Windows,2.1,1920,1080,141.21199808219862,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False,False,True
41,15.6,1TB HDD,0,1,1000.0,4,Asus,Linux,2.0,1920,1080,141.21199808219862,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,True,False,False,False,False,False
42,15.6,256GB SSD +  1TB HDD,1,1,1256.0,16,Dell,Windows,2.65,1920,1080,141.21199808219862,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,True
43,15.6,1TB HDD,0,1,1000.0,8,Asus,Linux,2.3,1366,768,100.45466986113651,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False,False,False
44,15.6,256GB SSD,1,0,256.0,4,Acer,Windows,2.2,1920,1080,141.21199808219862,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,True,False,False,False,False,True
45,17.3,1TB HDD,0,1,1000.0,12,Dell,Windows,2.77,1920,1080,127.33567457123111,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True
46,13.3,256GB SSD,1,0,256.0,8,Apple,Mac,1.37,2560,1600,226.98300468106115,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,True,False,False,True,False,False
47,15.6,128GB SSD,1,0,128.0,4,Lenovo,Other,2.2,1366,768,100.45466986113651,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,True,False,False,False,True,False
48,17.3,256GB SSD +  1TB HDD,1,1,1256.0,8,Asus,Windows,3.2,1920,1080,127.33567457123111,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True
49,15.6,256GB SSD,1,0,256.0,4,Dell,Windows,2.3,1920,1080,141.21199808219862,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,True
50,17.3,1TB HDD,0,1,1000.0,4,Asus,Windows,2.8,1366,768,90.58340172449303,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False,False,True
51,10.1,64GB Flash Storage,0,0,64.0,4,Lenovo,Android,0.69,1920,1200,224.17380907857276,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,True,False
52,15.6,256GB SSD,1,0,256.0,8,Acer,Windows,2.2,1920,1080,141.21199808219862,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False,False,True
53,15.6,256GB SSD,1,0,256.0,4,HP,Windows,1.86,1920,1080,141.21199808219862,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True
54,13.3,512GB SSD,1,0,512.0,8,HP,Windows,1.49,1920,1080,165.6321180513006,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,True,False,False,False,False,True
55,15.6,1TB HDD,0,1,1000.0,4,Acer,Windows,2.4,1366,768,100.45466986113651,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,True,False,False,False,False,True
56,15.6,256GB SSD,1,0,256.0,8,Dell,Windows,2.13,1920,1080,141.21199808219862,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,True
57,15.6,128GB SSD,1,0,128.0,4,HP,Windows,1.91,1920,1080,141.21199808219862,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,True,False,False,False,False,True
58,15.6,256GB SSD,1,0,256.0,4,Asus,Windows,2.0,1366,768,100.45466986113651,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,True,False,False,False,False,True
59,17.3,256GB SSD +  2TB HDD,1,1,2256.0,16,MSI,Windows,2.43,1920,1080,127.33567457123111,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,True
60,15.6,256GB SSD,1,0,256.0,4,Asus,Linux,2.0,1920,1080,141.21199808219862,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,True,False,False,False,False,False
61,17.3,256GB SSD +  2TB HDD,1,1,2256.0,16,Dell,Windows,2.8,1920,1080,127.33567457123111,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,True
62,14.0,256GB SSD,1,0,256.0,8,Dell,Windows,1.7,1920,1080,157.3505121487356,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,True,False,False,False,False,True
63,14.0,256GB SSD,1,0,256.0,8,Lenovo,Other,1.7,1920,1080,157.3505121487356,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,True,False,False,False,True,False
64,14.0,256GB SSD,1,0,256.0,8,Asus,Windows,1.4,1920,1080,157.3505121487356,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,True,False,False,False,False,True
66,15.6,256GB SSD,1,0,256.0,8,HP,Windows,1.86,1920,1080,141.21199808219862,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,True,False,False,False,False,True
67,15.6,512GB SSD,1,0,512.0,16,Asus,Windows,1.8,1920,1080,141.21199808219862,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,True,False,False,False,True
68,15.6,500GB HDD,0,1,500.0,4,HP,Windows,1.86,1366,768,100.45466986113651,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,True
69,14.0,32GB SSD,1,0,32.0,4,HP,Windows,1.44,1366,768,111.93520355955211,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,True,False,False,False,False,True
70,15.6,1TB HDD,0,1,1000.0,4,Lenovo,Windows,1.9,1920,1080,141.21199808219862,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,True,False,False,False,False,True
71,17.3,1TB HDD,0,1,1000.0,12,Asus,Linux,3.0,1920,1080,127.33567457123111,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False
72,13.5,128GB SSD,1,0,128.0,4,Other,Windows 10 S,1.252,2256,1504,200.84255993695703,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False,True,False,False,False,False,True
73,13.3,256GB SSD,1,0,256.0,8,Dell,Windows,1.4,1920,1080,165.6321180513006,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,True
74,15.6,256GB SSD,1,0,256.0,8,Dell,Windows,2.2,1920,1080,141.21199808219862,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,True
75,17.3,128GB SSD +  1TB HDD,1,1,1128.0,8,MSI,Windows,2.7,1920,1080,127.33567457123111,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,True
76,14.0,1TB HDD,0,1,1000.0,8,Acer,Windows,2.1,1366,768,111.93520355955211,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,True,False,False,False,False,True
